Почти все возможности взаимодействия с игрой в MoonLoader реализованы посредством эмуляции опкодов, которые используются в игре для программирования миссий. Многие опкоды не вошли в релиз MoonLoader с самой первой версии, часть вошедших опкодов позже была заменена встроенными реализациями в обновлениях.
Следующая таблица содержит все опкоды игры, где каждому опкоду соответствует его аналог в Lua и комментарий о различиях или причинах отсутствия.
Отсутствие пояснения к опкоду в третьей колонке означает, что Lua функция напрямую эмулирует опкод игры без каких-либо изменений в поведении.

Опкод	Lua	Пояснение
0400	float X, float Y, float Z = getOffsetFromObjectInWorldCoords(Object object, float offsetX, float offsetY, float offsetZ)	
0407	float X, float Y, float Z = getOffsetFromCarInWorldCoords(Vehicle car, float offsetX, float offsetY, float offsetZ)	
0409		[1:13]
040B		[1:14]
040C		[1:15]
040D	clearMissionAudio(int id)	
0414	setFreeHealthCare(Player player, bool free)	
0416		[1:16]
0417	loadAndLaunchMissionInternal(int mission)	
0418	setObjectDrawLast(Object object, bool drawLast)	
041A	int ammo = getAmmoInCharWeapon(Ped ped, int int)	
041D	setNearClip(float clip)	
041E	setRadioChannel(int radioStation)	
0423	setCarTraction(Vehicle car, float traction)	
0424	bool result = areMeasurementsInMetres()	
0425	float feet = convertMetresToFeet(float meters)	
0428	setCarAvoidLevelTransitions(Vehicle car, bool avoidLevelTransitions)	
042B	clearAreaOfChars(float cornerAX, float cornerAY, float cornerAZ, float cornerBX, float cornerBY, float cornerBZ)	
042C	setTotalNumberOfMissions(int totalMissions)	
042D	int imperial = convertMetresToFeetInt(int metric)	
042E	registerFastestTime(int stat, int to)	
042F	registerHighestScore(int int1, int int2)	
0430	warpCharIntoCarAsPassenger(Ped ped, Vehicle car, int passengerSeat)	
0431	bool result = isCarPassengerSeatFree(Vehicle car, int seat)	
0432	Ped ped = getCharInCarPassengerSeat(Vehicle car, int seat)	
0433	setCharIsChrisCriminal(Ped ped, bool flag)	
0434	startCredits()	
0435	stopCredits()	
0436	bool result = areCreditsFinished()	
043C	setMusicDoesFade(bool enable)	
043E		[1:17]
043F		[1:18]
0440		[1:19]
0441	Model modelId = getCarModel(Vehicle veh)	
0445	bool result = areAnyCarCheatsActivated()	
0446	setCharSuffersCriticalHits(Ped ped, bool enable)	
0448	bool result = isCharSittingInCar(Ped ped, Vehicle car)	
0449	bool result = isCharSittingInAnyCar(Ped ped)	
044B	bool result = isCharOnFoot(Ped ped)	
044D	loadSplashScreen(GxtString gxtString)	
0450	setJamesCarOnPathToPlayer(int int1)	
0451		[1:20]
0453	setObjectRotation(Object object, float rotationX, float rotationY, float rotationZ)	
0454	float X, float Y, float Z = getDebugCameraCoordinates()	
0457	bool result = isPlayerTargettingChar(Player player, Ped ped)	
0458	bool result = isPlayerTargettingObject(Player player, Object object)	
0459		[3:8]
045A	displayTextWithNumber(float x, float y, GxtString gxtString, int number)	
045B	displayTextWith2Numbers(float x, float y, GxtString gxtString, int numbersX, int numbersY)	
045C	failCurrentMission()	
045D		[1:21]
0460	setInterpolationParameters(float delay, int time)	
0463	float X, float Y, float Z = getDebugCameraPointAt()	
0464	attachCharToCar(Ped ped, Vehicle car, float offsetX, float offsetY, float offsetZ, int position, float shootingAngleLimit, int weapon)	
0465	detachCharFromCar(Ped ped)	
0466	setCarStayInFastLane(Vehicle car, bool flag)	
0467	clearCharLastWeaponDamage(Ped ped)	
0468	clearCarLastWeaponDamage(Vehicle car)	
0469	int int10 = getRandomCopInArea(float float1, float float2, float float3, float float4, bool int5, bool int6, bool int7, bool int8, bool int9)	
046C	Ped ped = getDriverOfCar(Vehicle car)	
046D	int followers = getNumberOfFollowers(Ped ped)	
046E	giveRemoteControlledModelToPlayer(Player player, float atX, float atY, float atZ, float angle, Model RCModel)	
0470	int weapon = getCurrentCharWeapon(Ped ped)	
0471	bool result = locateCharAnyMeansObject2d(Ped ped, Object object, float radiusX, float radiusY, bool sphere)	
0472	bool result = locateCharOnFootObject2d(Ped ped, Object object, float radiusX, float radiusY, bool sphere)	
0473	bool result = locateCharInCarObject2d(Ped ped, Object object, float radiusX, float radiusY, bool sphere)	
0474	bool result = locateCharAnyMeansObject3d(Ped ped, Object object, float radiusX, float radiusY, float radiusZ, bool sphere)	
0475	bool result = locateCharOnFootObject3d(Ped ped, Object object, float radiusX, float radiusY, float radiusZ, bool sphere)	
0476	bool result = locateCharInCarObject3d(Ped ped, Object object, float radiusX, float radiusY, float radiusZ, bool sphere)	
0477	setCarTempAction(Vehicle car, int action, int time)	
047A	bool result = isCharOnAnyBike(Ped ped)	
0480	bool result = canCharSeeDeadChar(Ped ped, int pedtype)	
0481	setEnterCarRangeMultiplier(float float1)	
0482		[1:22]
0484	Vehicle car = getRemoteControlledCar(Player player)	
0485	bool result = isPcVersion()	
0488	bool result = isModelAvailable(Model modelId)	
0489	shutCharUp(Ped ped, bool muted)	
048A	setEnableRcDetonate(bool detonation)	
048B	setCarRandomRouteSeed(Vehicle car, int routeSeed)	
048C	bool result = isAnyPickupAtCoords(float pickupX, float pickupY, float pickupZ)	
048F	removeAllCharWeapons(Ped ped)	
0491	bool result = hasCharGotWeapon(Ped ped, int weapon)	
0493	setTankDetonateCars(int tank, bool detonate)	
0494	int offset1, int offset2, int offset3, int offset4 = getPositionOfAnalogueSticks(int joystick)	
0495	bool result = isCarOnFire(Vehicle car)	
0496	bool result = isCarTireBurst(Vehicle car, int tire)	
049C	initialiseObjectPath(int int1, float float2)	
049E	setObjectPathSpeed(int int1, int int2)	
049F	setObjectPathPosition(int int1, float float2)	
04A1	clearObjectPath(int int1)	
04A2	heliGotoCoords(Vehicle heli, float toX, float toY, float toZ, float altitudeMin, float altitudeMax)	
04A3		[3:9]
04A4		[3:10]
04A5	float coordsX, float coordsY, float coordsZ = getDeadCharPickupCoords(Ped ped)	
04A6	Pickup pickup = createProtectionPickup(float atX, float atY, float atZ, int int4, int int5)	
04A7	bool result = isCharInAnyBoat(Ped ped)	
04A9	bool result = isCharInAnyHeli(Ped ped)	
04AB	bool result = isCharInAnyPlane(Ped ped)	
04AD	bool result = isCharInWater(Ped ped)	
04AE		[3:11]
04AF		[3:12]
04B0		[3:13]
04B1		[3:14]
04B2		[3:15]
04B3		[3:16]
04B4		[3:17]
04B5		[3:18]
04B6		[3:19]
04B7		[3:20]
04B8	int weapon, int ammo, Model modelId = getCharWeaponInSlot(Ped ped, int slot)	
04B9	float float6, float float7, float float8, float float9, float float10, float float11, float float12 = getClosestStraightRoad(float atX, float atY, float atZ, float height, float radius)	
04BA	setCarForwardSpeed(Vehicle car, float speed)	
04BB	setInteriorVisible(int interior)	
04BC		[1:23]
04BD	markCarAsConvoyCar(Vehicle car, bool convoy)	
04BE	resetHavocCausedByPlayer(int int1)	
04BF	int int2 = getHavocCausedByPlayer(int int1)	
04C0	createScriptRoadblock(float cornerAX, float cornerAY, float cornerAZ, float cornerBX, float cornerBY, float cornerBZ, int type)	
04C1	clearAllScriptRoadblocks()	
04C4	float X, float Y, float Z = getOffsetFromCharInWorldCoords(Ped ped, float offsetX, float offsetY, float offsetZ)	
04C5	bool result = hasCharBeenPhotographed(Ped ped)	
04C7	switchSecurityCamera(bool int1)	
04C8	bool result = isCharInFlyingVehicle(Ped ped)	
04CE	Marker marker = addShortRangeSpriteBlipForCoord(float atX, float atY, float atZ, int icon)	
04D0	setHeliOrientation(Vehicle heli, float angle)	
04D1	clearHeliOrientation(Vehicle heli)	
04D2	planeGotoCoords(int plane, float X, float Y, float Z, float z1, float z2)	
04D3	float X, float Y, float Z = getNthClosestCarNode(float X, float Y, float Z, int type)	
04D5	drawWeaponshopCorona(float X, float Y, float Z, float radius, int type, int flare, int r, int g, int b)	
04D6	setEnableRcDetonateOnContact(bool enable)	
04D7	freezeCharPosition(Ped ped, bool locked)	
04D8	setCharDrownsInWater(Ped ped, bool drowns)	
04D9	setObjectRecordsCollisions(Object object, bool set)	
04DA	bool result = hasObjectCollidedWithAnything(Object object)	
04DB	removeRcBuggy()	
04DD	int armour = getCharArmour(Ped ped)	
04DF	setHeliStabiliser(Vehicle heli, bool limiter)	
04E0	setCarStraightLineDistance(Vehicle car, int radius)	
04E1	popCarBoot(Vehicle car)	
04E2	shutPlayerUp(Player player, bool shut)	
04E3	setPlayerMood(Player player, int flag, int time)	
04E4	requestCollision(float X, float Y)	
04E5	bool result = locateObject2d(Object object, float X, float Y, float radiusX, float radiusY, bool sphere)	
04E6	bool result = locateObject3d(Object object, float X, float Y, float Z, float radiusX, float radiusY, float radiusZ, bool flag)	
04E7	bool result = isObjectInWater(Object object)	
04E9	bool result = isObjectInArea2d(Object object, float cornerAX, float cornerAY, float cornerBX, float cornerBY, bool sphere)	
04EA	bool result = isObjectInArea3d(Object object, float cornerAX, float cornerAY, float cornerAZ, float cornerBX, float cornerBY, float cornerBZ, bool flag)	
04EB	taskToggleDuck(Ped ped, bool crouch)	
04ED	requestAnimation(string animation)	
04EE	bool result = hasAnimationLoaded(string animation)	
04EF	removeAnimation(string animation)	
04F0	bool result = isCharWaitingForWorldCollision(Ped ped)	
04F1	bool result = isCarWaitingForWorldCollision(Vehicle car)	
04F4	attachCharToObject(Ped ped, Object object, float offsetX, float offsetY, float offsetZ, int orientation, float angle, int lockWeapon)	
04F5		[1:24]
04F7	displayNthOnscreenCounterWithString(VarId text, int type, int line, GxtString gxtString)	
04F8	addSetPiece(int type, float rectX1, float rectY1, float rectX2, float rectY2, float spawnAX, float spawnAY, float headedTowards1X, float headedTowards1Y, float spawnBX, float spawnBY, float headedTowards2X, float headedTowards2Y)	
04F9	setExtraColours(int color, bool fade)	
04FA	clearExtraColours(bool fade)	
04FC	int twowheelstime, float twowheelsdistance, int wheelietime, float wheelieDistance, int stoppieTime, float stoppieDistance = getWheelieStats(Player player)	
04FE	burstCarTire(Vehicle car, int tire)	
0500	bool result = isPlayerWearing(Player player, string bodypart, int skin)	
0501	setPlayerCanDoDriveBy(Player player, bool mode)	
0503	int handleAs = createSwatRope(int pedtype, Model modelId, float X, float Y, float Z)	
0506	setCarModelComponents(Model car, int variation1, int variation2)	
0507		[1:25]
0508	closeAllCarDoors(Vehicle car)	
0509	float distance = getDistanceBetweenCoords2d(float x1, float y1, float x2, float y2)	
050A	float distance = getDistanceBetweenCoords3d(float x1, float y1, float z1, float x2, float y2, float z2)	
050B		[1:26]
050E	sortOutObjectCollisionWithCar(Object object, Vehicle car)	
050F	int level = getMaxWantedLevel()	
0512	printHelpForever(GxtString text)	
0513	printHelpForeverWithNumber(GxtString text, int number)	
0515		[1:27]
0517	Pickup pickup = createLockedPropertyPickup(float pX, float pY, float pZ, GxtString gxtString)	
0518	Pickup pickup = createForsalePropertyPickup(float pX, float pY, float pZ, int price, GxtString gxtString)	
0519	freezeCarPosition(Vehicle car, bool locked)	
051A	bool result = hasCharBeenDamagedByChar(Ped ped, Ped byActor)	
051B	bool result = hasCharBeenDamagedByCar(Ped ped, Vehicle byCar)	
051C	bool result = hasCarBeenDamagedByChar(Vehicle car, Ped byActor)	
051D	bool result = hasCarBeenDamagedByCar(Vehicle car, Vehicle byCar)	
051E	int radio = getRadioChannel()	
0521		[1:28]
0522		[1:29]
0523		[1:30]
0524		[1:31]
0525		[1:32]
0526	setCharStayInCarWhenJacked(Ped ped, bool stay)	
052C	setPlayerDrunkenness(Player player, int drunk)	
053E	Vehicle car = getRandomCarOfTypeInAreaNoSave(float x1, float y1, float x2, float y2, Model modelId)	
053F	setCanBurstCarTires(Vehicle car, bool vulnerability)	
0540		[1:33]
0541	fireHunterGun(Vehicle car)	
0545		[1:34]
0547	bool result = isCharTouchingVehicle(Ped ped, Vehicle car)	
0548		[1:35]
054A	setCharCanBeShotInVehicle(Ped ped, bool can)	
054B		[1:36]
054C	loadMissionText(GxtString table)	
054D		[1:37]
054E	clearCharLastDamageEntity(Ped ped)	
054F	clearCarLastDamageEntity(Vehicle car)	
0550	freezeObjectPosition(Object object, bool freeze)	
0551		[1:38]
0552		[1:39]
0555	removeWeaponFromChar(Ped ped, int weapon)	
0557		[1:40]
055B		[1:41]
055D	makePlayerFireProof(Player player, bool fireproof)	
055E	increasePlayerMaxHealth(Player player, int increase)	
055F	increasePlayerMaxArmour(Player player, int increase)	
0560	Ped ped = createRandomCharAsDriver(Vehicle car)	
0561	Ped ped = createRandomCharAsPassenger(Vehicle car, int seat)	
0563	ensurePlayerHasDriveByWeapon(Player player, int ammo)	
0564	makeHeliComeCrashingDown(Vehicle heli)	
0565	addExplosionNoSound(float pX, float pY, float pZ, int type)	
0566	linkObjectToInterior(Object object, int interior)	
0568	setCharNeverTargetted(Ped ped, bool untargetable)	
0569		[1:42]
056A	bool result = wasCutsceneSkipped()	
056C	bool result = isCharInAnyPoliceVehicle(Ped ped)	
056D	bool result = doesCharExist(Ped ped)	
056E	bool result = doesVehicleExist(Vehicle car)	
0570	Marker blip = addShortRangeSpriteBlipForContactPoint(float pX, float pY, float pZ, int icon)	
0572	setAllTaxisHaveNitro(bool toggle)	
0574	freezeCarPositionAndDontLoadCollision(Vehicle car, bool keep)	
0575	freezeCharPositionAndDontLoadCollision(Ped ped, bool keep)	
057B		[1:43]
057D		[1:44]
057E	setPlayerIsInStadium(bool set)	
057F		[1:45]
0581	displayRadar(bool enable)	
0582	registerBestPosition(int stat, float float)	
0583	bool result = isPlayerInInfoZone(Player player, GxtString zone)	
0585		[1:46]
0587	setLoadCollisionForCarFlag(Vehicle car, bool enable)	
0588	setLoadCollisionForCharFlag(Ped ped, bool enable)	
058A	addBigGunFlash(float fromX, float fromY, float fromZ, float toX, float toY, float toZ)	
058C	float progress = getProgressPercentage()	
058D		[1:47]
058E		[1:48]
0591		[1:49]
0592		[1:50]
0594	setVehicleToFadeIn(Vehicle car, int flag)	
0595	registerOddjobMissionPassed()	
0596	bool result = isPlayerInShortcutTaxi(Player player)	
0597	bool result = isCharDucking(Ped ped)	
059A		[1:51]
059B		[1:52]
059C	setOnscreenCounterFlashWhenFirstDisplayed(VarId text, bool flashing)	
059D	shuffleCardDecks(bool shuffle)	
059E	int card = fetchNextCard()	
059F	float vecX, float vecY, float vecZ = getObjectVelocity(Object object)	
05A0	bool result = isDebugCameraOn()	
05A1	addToObjectRotationVelocity(Object object, float vecX, float vecY, float vecZ)	
05A2	setObjectRotationVelocity(Object object, float vecX, float vecY, float vecZ)	
05A3	bool result = isObjectStatic(Object object)	
05A4	float angle = getAngleBetween2dVectors(float vecX, float vecY, float vecX, float vecY)	
05A5	bool result = do2dRectanglesCollide(float areaX, float areaY, float scaleX, float scaleY, float overlapareaX, float overlapareaY, float overlapscaleX, float overlapscaleY)	
05A6	float axisX, float axisY, float axisZ = getObjectRotationVelocity(Object object)	
05A7	addVelocityRelativeToObjectVelocity(Object object, float vecX, float vecY, float vecZ)	
05A8	float speed = getObjectSpeed(Object object)	
05A9		[3:21]
05AA		[3:22]
05AD		[3:23]
05AE		[3:24]
05B0	bool result, float X, float Y = get2dLinesIntersectPoint(float l1x1, float l1y1, float l1x2, float l1y2, float l2x1, float l2y1, float l2x2, float l2y2)	
05B1		[1:53]
05B2		[1:54]
05B3		[1:55]
05B5		[1:56]
05B6		[1:57]
05B7		[1:58]
05B8		[1:59]
05B9	taskPause(Ped ped, int timeMS)	
05BA	taskStandStill(Ped ped, int timeMS)	
05BB	taskFallAndGetUp(Ped ped, bool int2, int time)	
05BC	taskJump(Ped ped, bool jump)	
05BD	taskTired(Ped ped, int timeMS)	
05BE	taskDie(Ped ped)	
05BF	taskLookAtChar(Ped ped, int lookAt, int timeMS)	
05C0	taskLookAtVehicle(Ped ped, int lookAt, int timeMS)	
05C1	taskSay(Ped ped, int audio)	
05C2	taskShakeFist(Ped ped)	
05C3	taskCower(Ped ped)	
05C4	taskHandsUp(Ped ped, int timeMS)	
05C5	taskDuck(Ped ped, int timeMS)	
05C6		[1:60]
05C7	taskUseAtm(Ped ped)	
05C8	taskScratchHead(Ped ped)	
05C9	taskLookAbout(Ped ped, int timeMS)	
05CA	taskEnterCarAsPassenger(Ped ped, Vehicle car, int time, int passengerSeat)	
05CB	taskEnterCarAsDriver(Ped ped, Vehicle car, int timeMS)	
05CC		[1:61]
05CD	taskLeaveCar(Ped ped, Vehicle car)	
05CE		[1:62]
05CF	taskLeaveCarAndFlee(Ped ped, Vehicle car, float X, float Y, float Z)	
05D0		[1:63]
05D1	taskCarDriveToCoord(Ped ped, Vehicle car, float toX, float toY, float toZ, float speed, int int7, int model, int int9)	
05D2	taskCarDriveWander(Ped ped, Vehicle hijackCar, float searchRadius, int trafficBehavior)	
05D3	taskGoStraightToCoord(Ped ped, float toX, float toY, float toZ, int mode, int time)	
05D4	taskAchieveHeading(Ped ped, float angle)	
05D5		[1:64]
05D6	flushRoute()	
05D7	extendRoute(float pointX, float pointY, float pointZ)	
05D8	taskFollowPointRoute(Ped ped, int flags1, int flags2)	
05D9	taskGotoChar(Ped ped, Ped toActor, int timelimit, float stopWithinRadius)	
05DA	taskFleePoint(Ped ped, float fromX, float fromY, float fromZ, float awayRadius, int timelimit)	
05DB	taskFleeChar(Ped ped, Ped fromActor, float radius, int timelimit)	
05DC	taskSmartFleePoint(Ped ped, float fromX, float fromY, float fromZ, float stopAtRadius, int timelimit)	
05DD	taskSmartFleeChar(Ped ped, Ped fromActor, float originRadius, int timelimit)	
05DE	taskWanderStandard(Ped ped)	
05E2	taskKillCharOnFoot(Ped ped, Ped killActor)	
05E5		[1:65]
05E6		[1:66]
05E7		[1:67]
05E8		[1:68]
05E9		[1:69]
05EA		[1:70]
05EB	startPlaybackRecordedCar(Vehicle car, int path)	
05EC	stopPlaybackRecordedCar(Vehicle car)	
05ED	pausePlaybackRecordedCar(Vehicle car)	
05EE	unpausePlaybackRecordedCar(Vehicle car)	
05EF		[1:71]
05F0		[1:72]
05F1	setCarEscortCarLeft(Vehicle car, Vehicle followCar)	
05F2	setCarEscortCarRight(Vehicle car, Vehicle followCar)	
05F3	setCarEscortCarRear(Vehicle car, Vehicle followCar)	
05F4	setCarEscortCarFront(Vehicle car, Vehicle followCar)	
05F5	taskFollowPathNodesToCoord(Ped ped, float pathX, float pathY, float pathZ, int mode, int time)	
05F6	bool result = isCharInAngledArea2d(Ped ped, float x1, float y1, float x2, float y2, float angle, bool sphere)	
05F7	bool result = isCharInAngledAreaOnFoot2d(Ped ped, float x1, float y1, float x2, float y2, float angle, bool sphere)	
05F8	bool result = isCharInAngledAreaInCar2d(Ped ped, float x1, float y1, float x2, float y2, float angle, bool sphere)	
05F9	bool result = isCharStoppedInAngledArea2d(Ped ped, float x1, float y1, float x2, float y2, float height, bool flag)	
05FA	bool result = isCharStoppedInAngledAreaOnFoot2d(Ped ped, float x1, float y1, float x2, float y2, float angle, bool sphere)	
05FB	bool result = isCharStoppedInAngledAreaInCar2d(Ped ped, float x1, float y1, float x2, float y2, float height, bool flag)	
05FC	bool result = isCharInAngledArea3d(Ped ped, float x1, float y1, float z1, float x2, float y2, float z2, float angle, bool sphere)	
05FD	bool result = isCharInAngledAreaOnFoot3d(Ped ped, float x1, float y1, float z1, float x2, float y2, float z2, float angle, bool sphere)	
05FE	bool result = isCharInAngledAreaInCar3d(Ped ped, float x1, float y1, float z1, float x2, float y2, float z2, float depth, bool flag)	
05FF	bool result = isCharStoppedInAngledArea3d(Ped ped, float x1, float y1, float z1, float x2, float y2, float z2, float depth, bool flag)	
0600	bool result = isCharStoppedInAngledAreaOnFoot3d(Ped ped, float x1, float y1, float z1, float x2, float y2, float z2, float depth, bool flag)	
0601	bool result = isCharStoppedInAngledAreaInCar3d(Ped ped, float x1, float y1, float z1, float x2, float y2, float z2, float depth, bool flag)	
0602	bool result = isCharInTaxi(Ped ped)	
0603	taskGoToCoordAnyMeans(Ped ped, float toX, float toY, float toZ, int mode, Vehicle useCar)	
0604	float zAngle = getHeadingFromVector2d(float pX, float pY)	
0605	taskPlayAnim(Ped ped, string animation, string IFP, float framedelta, bool loop, bool lockX, bool lockY, bool lockF, int time)	
0606	loadPathNodesInArea(float x1, float y1, float x2, float y2)	
0607	releasePathNodes()	
0608		[1:73]
0609		[1:74]
060A	int maker = loadCharDecisionMaker(int type)	
060B	setCharDecisionMaker(Ped ped, int maker)	
060C		[1:75]
060D	setTextDropshadow(int shadow, int r, int g, int b, int a)	
060E	bool result = isPlaybackGoingOnForCar(Vehicle car)	
060F	setSenseRange(Ped ped, float accuracy)	
0610		[1:76]
0611	bool result = isCharPlayingAnim(Ped ped, string animation)	
0612	setCharAnimPlayingFlag(Ped ped, string animation, bool flag)	
0613	float time = getCharAnimCurrentTime(Ped ped, string animation)	
0614	setCharAnimCurrentTime(Ped ped, string animation, float time)	
0615	int task = openSequenceTask()	
0616	closeSequenceTask(int task)	
0617		[1:77]
0618	performSequenceTask(Ped ped, int task)	
0619	setCharCollision(Ped ped, bool enable)	
061A	float totalTime = getCharAnimTotalTime(Ped ped, string animation)	
061B	clearSequenceTask(int task)	
061C		[1:78]
061D	int handle = addAttractor(float originX, float originY, float originZ, float zAngle, float unknownAngle, int taskSequence)	
061E	clearAttractor(int handle)	
061F		[1:79]
0620		[1:80]
0621	Ped ped = createCharAtAttractor(int pedtype, Model modelId, int ASOrigin, int task)	
0622	taskLeaveCarImmediately(Ped ped, Vehicle car)	
0623	incrementIntStat(int stat, int add)	
0624	incrementFloatStat(int stat, float add)	
0625	decrementIntStat(int stat, int int)	
0626	decrementFloatStat(int stat, float float)	
0627	registerIntStat(int stat, int int)	
0628	registerFloatStat(int stat, float value)	
0629	setIntStat(int stat, int int)	
062A	setFloatStat(int stat, float float)	
062B		[1:81]
062C		[1:82]
062D		[1:83]
062E	int status = getScriptTaskStatus(Ped ped, int task)	
062F	int group = createGroup(int type)	
0630	setGroupLeader(int group, Ped ped)	
0631	setGroupMember(int group, Ped ped)	
0632	removeGroup(int group)	
0633	taskLeaveAnyCar(Ped ped)	
0634	taskKillCharOnFootWhileDucking(Ped ped, int weapon, int flags, int time, int chance)	
0635	taskAimGunAtChar(Ped ped, int aimAt, int timeMS)	
0636		[1:84]
0637	taskGoToCoordWhileShooting(Ped ped, float toX, float toY, float toZ, int mode, float turnRadius, float stopRadius, int lookAtActor)	
0638	taskStayInSamePlace(Ped ped, bool stay)	
0639	taskTurnCharToFaceChar(Ped ped, int rotateTo)	
0642	bool result = isCharAtScriptedAttractor(Ped ped, int origin)	
0643	setSequenceToRepeat(int pack, bool loop)	
0646	int progess = getSequenceProgress(Ped ped)	
0647	clearLookAt(Ped ped)	
0648	setFollowNodeThresholdDistance(Ped ped, float dist)	
064A		[1:85]
064B	Particle particle = createFxSystem(string particle, float pX, float pY, float pZ, int type)	
064C	playFxSystem(Particle particle)	
064D		[1:86]
064E	stopFxSystem(Particle particle)	
064F	playAndKillFxSystem(Particle particle)	
0650	killFxSystem(Particle particle)	
0651		[1:87]
0652	int stat = getIntStat(int stat)	
0653	float stat = getFloatStat(int stat)	
0654	setObjectRenderScorched(Object object, bool fireproof)	
0655	taskLookAtObject(Ped ped, int lookAt, int timeMS)	
0656	float float = limitAngle(float angle)	
0657	openCarDoor(Vehicle car, int door)	
0659		[1:88]
065A		[1:89]
065B	float X, float Y, float Z = getPickupCoordinates(Pickup pickup)	
065C	removeDecisionMaker(int maker)	
065D		[1:90]
065E		[1:91]
065F		[1:92]
0660		[1:93]
0661		[1:94]
0662		[1:95]
0663		[1:96]
0664		[1:97]
0665	Model modelId = getCharModel(Ped ped)	
0666		[1:98]
0667	taskAimGunAtCoord(Ped ped, float atX, float atY, float atZ, int timeMS)	
0668	taskShootAtCoord(Ped ped, float atX, float atY, float atZ, int timeMS)	
0669	Particle particle = createFxSystemOnChar(string particle, Ped ped, float offsetX, float offsetY, float offsetZ, int type)	
066A	Particle particle = createFxSystemOnCharWithDirection(string particle, Ped ped, float offsetX, float offsetY, float offsetZ, float rotationX, float rotationY, float rotationZ, int type)	
066B	Particle particle = createFxSystemOnCar(string particle, Vehicle car, float offsetX, float offsetY, float offsetZ, int type)	
066C	Particle particle = createFxSystemOnCarWithDirection(string particle, Vehicle car, float offsetX, float offsetY, float offsetZ, float rotationX, float rotationY, float rotationZ, int type)	
066D	Particle particle = createFxSystemOnObject(string particle, Object object, float offsetX, float offsetY, float offsetZ, int type)	
066E	Particle particle = createFxSystemOnObjectWithDirection(string particle, Object object, float offsetX, float offsetY, float offsetZ, float rotationX, float rotationY, float rotationZ, int flag)	
066F		[1:99]
0670		[1:100]
0671		[1:101]
0672	taskDestroyCar(Ped ped, Vehicle car)	
0673	taskDiveAndGetUp(Ped ped, float toOffsetX, float toOffsetY, int time)	
0674	customPlateForNextCar(Model modelId, string numberplate)	
0675		[1:102]
0676	taskShuffleToNextCarSeat(Ped ped, Vehicle car)	
0677	taskChatWithChar(Ped ped, int withActor, bool flag, int unknownFlag)	
0678		[1:103]
0679	attachCameraToVehicle(Vehicle car, float offsetX, float offsetY, float offsetZ, float rotationX, float rotationY, float rotationZ, float tilt, int switchstyle)	
067A	attachCameraToVehicleLookAtVehicle(Vehicle car, float offsetX, float offsetY, float offsetZ, int toCar, float tilt, int switchstyle)	
067B	attachCameraToVehicleLookAtChar(Vehicle car, float offsetX, float offsetY, float offsetZ, Ped ped, float tilt, int switchstyle)	
067C	attachCameraToChar(Ped ped, float offsetX, float offsetY, float offsetZ, float rotationX, float rotationY, float rotationZ, float tilt, int switchstyle)	
067E	attachCameraToCharLookAtChar(Ped ped, float offsetX, float offsetY, float offsetZ, int targetActor, float tilt, int switchstyle)	
067F	forceCarLights(Vehicle car, int lights)	
0680	addPedtypeAsAttractorUser(int ASOrigin, int pedtype)	
0681	attachObjectToCar(Object object, Vehicle car, float offsetX, float offsetY, float offsetZ, float rotationX, float rotationY, float rotationZ)	
0682	detachObject(Object object, float X, float Y, float Z, bool collisionDetection)	
0683	attachCarToCar(Vehicle car, int toCar, float offsetX, float offsetY, float offsetZ, float rotationX, float rotationY, float rotationZ)	
0684	detachCar(Vehicle car, float X, float Y, float Z, bool collisionDetection)	
0685	bool result = isObjectAttached(Object object)	
0686	bool result = isVehicleAttached(Vehicle car)	
0687	clearCharTasks(Ped ped)	
0688	taskTogglePedThreatScanner(Ped ped, bool unknownFlag1, bool unknownFlag2, bool unknownFlag3)	
0689	popCarDoor(Vehicle car, int door, bool visible)	
068A	fixCarDoor(Vehicle car, int door)	
068B	taskEveryoneLeaveCar(Vehicle car)	
068C	bool result = isPlayerTargettingAnything(Player player)	
068D	float X, float Y, float Z = getActiveCameraCoordinates()	
068E	float X, float Y, float Z = getActiveCameraPointAt()	
068F		[1:104]
0697	popCarPanel(Vehicle car, int component, bool effectFlag)	
0698	fixCarPanel(Vehicle car, int componentB)	
0699	fixCarTire(Vehicle car, int tire)	
069A	attachObjectToObject(Object object, int toObject, float offsetX, float offsetY, float offsetZ, float rotationX, float rotationY, float rotationZ)	
069B	attachObjectToChar(Object object, Ped ped, float offsetX, float offsetY, float offsetZ, float rotationX, float rotationY, float rotationZ)	
069C		[1:105]
069D		[1:106]
069E		[1:107]
069F		[1:108]
06A0		[1:109]
06A1		[1:110]
06A2	float vecX, float vecY, float vecZ = getCarSpeedVector(Vehicle car)	
06A3	float mass = getCarMass(Vehicle car)	
06A4		[1:111]
06A5	taskDiveFromAttachmentAndGetUp(Ped ped, int timeMS)	
06A6		[1:112]
06A7	attachCharToBike(Ped ped, Vehicle car, float offsetX, float offsetY, float offsetZ, int position, float shootingAngle1, float shootingAngle2, int weapon)	
06A8	taskGotoCharOffset(Ped ped, int toActor, int timelimit, float approachDistance, float approachAngle)	
06A9	taskLookAtCoord(Ped ped, float toX, float toY, float toZ, int timeMS)	
06AA		[1:113]
06AB	hideCharWeaponForScriptedCutscene(Ped ped, bool hide)	
06AC	float speed = getCharSpeed(Ped ped)	
